,Orientation,Ventilation,Shading,Insulation Thickness,Window to Wall Ratio,Electricity:Facility,DistrictCooling:Facility,DistrictHeating:Facility,total (Q)
0,180,0.0,26.21671912746778,0.051580358511925176,0.2197367140875944,5773034362.5,34969843.63003473,19913571144.088787,152.46057813765532
1,180,0.12,16.728984436612574,0.254727016730328,0.5815599152987173,5773028715.067252,0.0,16458657455.869587,131.77481085220978
2,270,0.0,15.99476459552423,0.15022517676904745,0.4589070509805354,5772074529.621017,4683866.428731924,17349140618.1522,137.07511634306906
3,90,0.0,0.8991087098276247,0.19985638841846898,0.12811781110482298,5773023740.287155,0.0,14781643378.9314,121.83454511453377
4,270,0.0,28.579417044781067,0.3971284509684718,0.11558497123322199,5772988486.202571,0.0,13896052817.236258,116.58513787376533
5,90,0.0,27.084530257251046,0.2552462323639075,0.23479676989913872,5772797370.35717,1947252.57323647,14863361814.983084,122.3291185064988
6,180,0.12,29.098505365371242,0.26278112123458547,0.7551092570221339,5772990860.23853,220151.89880565507,17223698228.07119,136.31054981675342
7,180,0.12,17.08882242876301,0.285146420205531,0.18532666131918568,5773034362.5,0.0,14566228306.826214,120.55776923604037
8,270,0.0,25.711102931323826,0.4244589136402599,0.6260310893590737,5770497044.569808,29670098.567019466,16270227088.93219,130.81877834199565
9,90,0.12,9.778620747310288,0.025713254891339264,0.13769076784661105,5773021407.500108,32154164.178491905,22647496245.660946,168.64872138539738
10,90,0.0,15.76401317544298,0.3593348449619093,0.32921706730640377,5772875006.126455,0.0,14884171673.75183,122.4413838013224
11,270,0.12,12.307942674905647,0.20646721020085226,0.17324272078905945,5772908019.775171,0.0,15291768207.656178,124.85754360645667
12,0,0.12,5.942100849922843,0.21886211336353437,0.36869748180011996,5773034362.5,0.0,16014585424.193422,129.14267744858162
13,270,0.12,22.78788272334098,0.3272526907689105,0.6968798666188702,5769686840.98744,0.0,16907430460.22895,134.4150335725632
14,180,0.12,2.01758176442818,0.18796113631062675,0.35173018779669896,5773034362.5,0.0,16052534106.957188,129.36761227605427
15,90,0.12,1.1446931120059018,0.35359109804569294,0.3782252231956664,5772899489.178732,0.0,15128883626.920673,123.89202039918162
16,90,0.0,4.189519077852852,0.4092771006215563,0.7003015368710178,5772343826.476618,10968212.28335223,16384723584.08958,131.3975322746718
17,180,0.12,23.908121607051363,0.3749588933932478,0.3883818732498253,5773034362.5,0.0,15135283389.47423,123.93075342193897
18,180,0.12,7.342261296436963,0.40441364024694404,0.5390925975486721,5773034362.5,0.0,15659661015.73878,127.03891903676647
19,90,0.12,27.749213182302896,0.3505037576937067,0.44181073751984623,5772136203.89586,0.0,15399960247.017265,125.49426002653271
20,90,0.0,25.893978508504404,0.4568823677813728,0.19641891475794268,5772877774.752683,0.0,13960909052.392433,116.96890674646005
21,180,0.0,27.587742544766552,0.2779338916438878,0.15754238393594838,5773034362.5,0.0,14472144832.000393,120.00010428862407
22,90,0.0,20.263218661729738,0.2149869577325944,0.4935243584706952,5772403624.198687,7477673.293448711,16309472171.873795,130.93115622865227
23,0,0.12,18.56029584203362,0.17678507801187296,0.740033937140376,5773034362.5,0.0,18109300650.650047,141.55877133517205
24,90,0.0,21.96763219491097,0.33681670497536015,0.16514103844598968,5772928013.347737,0.0,14153771741.954752,118.11236767980647
25,270,0.12,7.009665483813743,0.3779561645301361,0.4657305004077472,5772047529.585394,0.0,15650869943.756943,126.98096204878308
26,270,0.0,11.300309796039771,0.4533155500883065,0.862573398845647,5768233592.123668,16818766.651106723,17269426045.806885,136.6517819521776
27,270,0.0,15.348147342870549,0.14240479905621087,0.414650255295571,5772260162.9252,3901403.8129502116,17307689738.07962,136.82588518227155
28,180,0.12,19.890040110718942,0.12066093683361857,0.43222238962494386,5773034362.5,0.0,17480933483.86979,137.8342241320699
29,0,0.0,2.6351396328327583,0.435714647298348,0.7268530137103959,5773034362.5,7635527.962657363,16747019714.422533,133.52932448739864
30,0,0.0,14.426616318987865,0.299648644224516,0.5249884634215289,5773034362.5,2695253.408958044,16217836672.870827,130.3633928342451
31,180,0.0,29.37190589541202,0.07742577972964483,0.47818527464114335,5773034362.5,43286539.87031245,19177684055.65638,148.14801947361107
32,270,0.0,24.218343985227076,0.24948571778590717,0.42600405018218745,5772241863.656801,4128671.1389980507,16101520146.5414,129.67774392872536
33,90,0.0,23.432600856223022,0.3644644283960019,0.5992959961390996,5771001075.235984,9541963.01598774,16041395913.017853,129.3460988798617
34,90,0.0,11.801973383178609,0.44995591085633657,0.10365666761247734,5773028051.153282,0.0,13521841042.674858,114.36729115856387
35,0,0.12,7.7548195261646455,0.1404056754619509,0.5435686494639808,5773034362.5,0.0,17780765099.06062,139.6114287073547
36,180,0.12,18.25726047415997,0.043746394770612276,0.7669274793273113,5772987839.33769,24545506.979818705,22483179046.038635,167.62945903492997
37,0,0.0,14.724592567517988,0.11218730423051392,0.33486233007844346,5773034362.5,11862997.284027606,17477155935.501747,137.88214935435698
