Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) JUL:Des Cool Mass Flow [kg/s]
00:30:00,1.191797E+03,0.000000E+00,7.676412E-02,0.000000E+00,3.113456E+02,0.000000E+00,2.005903E-02,0.000000E+00,9.748177E+02,0.000000E+00,6.278936E-02,0.000000E+00
01:00:00,1.191758E+03,0.000000E+00,7.676159E-02,0.000000E+00,3.113390E+02,0.000000E+00,2.005860E-02,0.000000E+00,9.747945E+02,0.000000E+00,6.278786E-02,0.000000E+00
01:30:00,1.191761E+03,0.000000E+00,7.676180E-02,0.000000E+00,3.113395E+02,0.000000E+00,2.005864E-02,0.000000E+00,9.747965E+02,0.000000E+00,6.278799E-02,0.000000E+00
02:00:00,1.191764E+03,0.000000E+00,7.676201E-02,0.000000E+00,3.113401E+02,0.000000E+00,2.005867E-02,0.000000E+00,9.747984E+02,0.000000E+00,6.278811E-02,0.000000E+00
02:30:00,1.191767E+03,0.000000E+00,7.676221E-02,0.000000E+00,3.113406E+02,0.000000E+00,2.005871E-02,0.000000E+00,9.748002E+02,0.000000E+00,6.278823E-02,0.000000E+00
03:00:00,1.191770E+03,0.000000E+00,7.676240E-02,0.000000E+00,3.113411E+02,0.000000E+00,2.005874E-02,0.000000E+00,9.748020E+02,0.000000E+00,6.278834E-02,0.000000E+00
03:30:00,1.191773E+03,0.000000E+00,7.676259E-02,0.000000E+00,3.113416E+02,0.000000E+00,2.005877E-02,0.000000E+00,9.748037E+02,0.000000E+00,6.278846E-02,0.000000E+00
04:00:00,1.191776E+03,0.000000E+00,7.676277E-02,0.000000E+00,3.113421E+02,0.000000E+00,2.005880E-02,0.000000E+00,9.748054E+02,0.000000E+00,6.278856E-02,0.000000E+00
04:30:00,1.191779E+03,0.000000E+00,7.676294E-02,0.000000E+00,3.113425E+02,0.000000E+00,2.005883E-02,0.000000E+00,9.748070E+02,0.000000E+00,6.278867E-02,0.000000E+00
05:00:00,1.191781E+03,0.000000E+00,7.676311E-02,0.000000E+00,3.113430E+02,0.000000E+00,2.005886E-02,0.000000E+00,9.748086E+02,0.000000E+00,6.278877E-02,0.000000E+00
