Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s]
00:30:00,7.877981E+02,0.000000E+00,5.074154E-02,0.000000E+00,1.711220E+02,0.000000E+00,1.102465E-02,0.000000E+00,5.756139E+02,0.000000E+00,3.707567E-02,0.000000E+00
01:00:00,7.876337E+02,0.000000E+00,5.073094E-02,0.000000E+00,1.710900E+02,0.000000E+00,1.102258E-02,0.000000E+00,5.755034E+02,0.000000E+00,3.706856E-02,0.000000E+00
01:30:00,7.876461E+02,0.000000E+00,5.073175E-02,0.000000E+00,1.710924E+02,0.000000E+00,1.102274E-02,0.000000E+00,5.755118E+02,0.000000E+00,3.706910E-02,0.000000E+00
02:00:00,7.876582E+02,0.000000E+00,5.073253E-02,0.000000E+00,1.710948E+02,0.000000E+00,1.102289E-02,0.000000E+00,5.755200E+02,0.000000E+00,3.706962E-02,0.000000E+00
02:30:00,7.876700E+02,0.000000E+00,5.073329E-02,0.000000E+00,1.710971E+02,0.000000E+00,1.102304E-02,0.000000E+00,5.755279E+02,0.000000E+00,3.707014E-02,0.000000E+00
03:00:00,7.876815E+02,0.000000E+00,5.073403E-02,0.000000E+00,1.710993E+02,0.000000E+00,1.102319E-02,0.000000E+00,5.755357E+02,0.000000E+00,3.707064E-02,0.000000E+00
03:30:00,7.876927E+02,0.000000E+00,5.073475E-02,0.000000E+00,1.711015E+02,0.000000E+00,1.102333E-02,0.000000E+00,5.755432E+02,0.000000E+00,3.707112E-02,0.000000E+00
04:00:00,7.877036E+02,0.000000E+00,5.073545E-02,0.000000E+00,1.711036E+02,0.000000E+00,1.102346E-02,0.000000E+00,5.755505E+02,0.000000E+00,3.707159E-02,0.000000E+00
04:30:00,7.877142E+02,0.000000E+00,5.073613E-02,0.000000E+00,1.711057E+02,0.000000E+00,1.102360E-02,0.000000E+00,5.755577E+02,0.000000E+00,3.707205E-02,0.000000E+00
05:00:00,7.877245E+02,0.000000E+00,5.073680E-02,0.000000E+00,1.711077E+02,0.000000E+00,1.102373E-02,0.000000E+00,5.755646E+02,0.000000E+00,3.707250E-02,0.000000E+00
05:30:00,7.877345E+02,0.000000E+00,5.073744E-02,0.000000E+00,1.711097E+02,0.000000E+00,1.102385E-02,0.000000E+00,5.755714E+02,0.000000E+00,3.707294E-02,0.000000E+00
06:00:00,7.877443E+02,0.000000E+00,5.073807E-02,0.000000E+00,1.711116E+02,0.000000E+00,1.102398E-02,0.000000E+00,5.755780E+02,0.000000E+00,3.707336E-02,0.000000E+00
06:30:00,7.877538E+02,0.000000E+00,5.073869E-02,0.000000E+00,1.711134E+02,0.000000E+00,1.102410E-02,0.000000E+00,5.755844E+02,0.000000E+00,3.707377E-02,0.000000E+00
07:00:00,7.877631E+02,0.000000E+00,5.073928E-02,0.000000E+00,1.711152E+02,0.000000E+00,1.102421E-02,0.000000E+00,5.755906E+02,0.000000E+00,3.707417E-02,0.000000E+00
07:30:00,7.877721E+02,0.000000E+00,5.073987E-02,0.000000E+00,1.711170E+02,0.000000E+00,1.102433E-02,0.000000E+00,5.755967E+02,0.000000E+00,3.707457E-02,0.000000E+00
08:00:00,7.877809E+02,0.000000E+00,5.074043E-02,0.000000E+00,1.711187E+02,0.000000E+00,1.102444E-02,0.000000E+00,5.756026E+02,0.000000E+00,3.707495E-02,0.000000E+00
08:30:00,7.877895E+02,0.000000E+00,5.074098E-02,0.000000E+00,1.711204E+02,0.000000E+00,1.102454E-02,0.000000E+00,5.756083E+02,0.000000E+00,3.707532E-02,0.000000E+00
09:00:00,7.877978E+02,0.000000E+00,5.074152E-02,0.000000E+00,1.711220E+02,0.000000E+00,1.102465E-02,0.000000E+00,5.756139E+02,0.000000E+00,3.707568E-02,0.000000E+00
09:30:00,7.878059E+02,0.000000E+00,5.074204E-02,0.000000E+00,1.711236E+02,0.000000E+00,1.102475E-02,0.000000E+00,5.756194E+02,0.000000E+00,3.707603E-02,0.000000E+00
10:00:00,7.878138E+02,0.000000E+00,5.074255E-02,0.000000E+00,1.711251E+02,0.000000E+00,1.102485E-02,0.000000E+00,5.756247E+02,0.000000E+00,3.707637E-02,0.000000E+00
10:30:00,7.878215E+02,0.000000E+00,5.074304E-02,0.000000E+00,1.711266E+02,0.000000E+00,1.102495E-02,0.000000E+00,5.756298E+02,0.000000E+00,3.707670E-02,0.000000E+00
11:00:00,7.878289E+02,0.000000E+00,5.074353E-02,0.000000E+00,1.711281E+02,0.000000E+00,1.102504E-02,0.000000E+00,5.756348E+02,0.000000E+00,3.707703E-02,0.000000E+00
11:30:00,7.878362E+02,0.000000E+00,5.074400E-02,0.000000E+00,1.711295E+02,0.000000E+00,1.102513E-02,0.000000E+00,5.756397E+02,6.114508E+00,3.707734E-02,4.627180E-04
12:00:00,7.878433E+02,0.000000E+00,5.074445E-02,0.000000E+00,1.711309E+02,0.000000E+00,1.102522E-02,0.000000E+00,5.756445E+02,1.799867E+01,3.707765E-02,1.359729E-03
12:30:00,7.878502E+02,0.000000E+00,5.074490E-02,0.000000E+00,1.711322E+02,0.000000E+00,1.102531E-02,0.000000E+00,5.756491E+02,2.955995E+01,3.707795E-02,2.231175E-03
13:00:00,7.878569E+02,0.000000E+00,5.074533E-02,0.000000E+00,1.711335E+02,0.000000E+00,1.102539E-02,0.000000E+00,5.756536E+02,4.123642E+01,3.707824E-02,3.112539E-03
13:30:00,7.878634E+02,6.041897E+00,5.074575E-02,4.567268E-04,1.711348E+02,0.000000E+00,1.102547E-02,0.000000E+00,5.756580E+02,5.119244E+01,3.707852E-02,3.864075E-03
14:00:00,7.878698E+02,1.809438E+01,5.074616E-02,1.366431E-03,1.711360E+02,0.000000E+00,1.102555E-02,0.000000E+00,5.756623E+02,5.924493E+01,3.707879E-02,4.471933E-03
14:30:00,7.878760E+02,2.734401E+01,5.074656E-02,2.063892E-03,1.711372E+02,0.000000E+00,1.102563E-02,0.000000E+00,5.756664E+02,6.472188E+01,3.707906E-02,4.885379E-03
15:00:00,7.878820E+02,3.382943E+01,5.074695E-02,2.553417E-03,1.711384E+02,1.423838E+00,1.102571E-02,1.073956E-04,5.756705E+02,6.764283E+01,3.707932E-02,5.105877E-03
15:30:00,7.878879E+02,3.573438E+01,5.074733E-02,2.697213E-03,1.711396E+02,2.720147E+00,1.102578E-02,2.052384E-04,5.756744E+02,6.758811E+01,3.707958E-02,5.101750E-03
16:00:00,7.878936E+02,3.284328E+01,5.074769E-02,2.478997E-03,1.711407E+02,2.692581E+00,1.102585E-02,2.032307E-04,5.756782E+02,6.455964E+01,3.707982E-02,4.873143E-03
16:30:00,7.878992E+02,2.817098E+01,5.074805E-02,2.126328E-03,1.711417E+02,2.368799E+00,1.102592E-02,1.787924E-04,5.756820E+02,6.045447E+01,3.708006E-02,4.563253E-03
17:00:00,7.879046E+02,2.179846E+01,5.074840E-02,1.645328E-03,1.711428E+02,9.725260E-01,1.102599E-02,7.340443E-05,5.756856E+02,5.531217E+01,3.708030E-02,4.175082E-03
17:30:00,7.879099E+02,2.733390E+01,5.074874E-02,2.063126E-03,1.711438E+02,2.483691E+00,1.102606E-02,1.872644E-04,5.756891E+02,5.813135E+01,3.708052E-02,4.387856E-03
18:00:00,7.879150E+02,3.207042E+01,5.074907E-02,2.420642E-03,1.711448E+02,4.120598E+00,1.102612E-02,3.108153E-04,5.756926E+02,6.038643E+01,3.708075E-02,4.558090E-03
18:30:00,7.879200E+02,2.013945E+01,5.074939E-02,1.520114E-03,1.711458E+02,1.636907E+00,1.102618E-02,1.235509E-04,5.756959E+02,5.149803E+01,3.708096E-02,3.887193E-03
19:00:00,7.879249E+02,6.128648E+00,5.074971E-02,4.625850E-04,1.711467E+02,0.000000E+00,1.102624E-02,0.000000E+00,5.756992E+02,3.992087E+01,3.708117E-02,3.013297E-03
19:30:00,7.879296E+02,0.000000E+00,5.075001E-02,0.000000E+00,1.711477E+02,0.000000E+00,1.102630E-02,0.000000E+00,5.757024E+02,3.016580E+01,3.708138E-02,2.276941E-03
20:00:00,7.879342E+02,0.000000E+00,5.075031E-02,0.000000E+00,1.711486E+02,0.000000E+00,1.102636E-02,0.000000E+00,5.757054E+02,2.232316E+01,3.708157E-02,1.684955E-03
20:30:00,7.879387E+02,0.000000E+00,5.075060E-02,0.000000E+00,1.711494E+02,0.000000E+00,1.102642E-02,0.000000E+00,5.757084E+02,1.532171E+01,3.708177E-02,1.156475E-03
21:00:00,7.879431E+02,0.000000E+00,5.075088E-02,0.000000E+00,1.711503E+02,0.000000E+00,1.102647E-02,0.000000E+00,5.757114E+02,9.206005E+00,3.708196E-02,6.948601E-04
21:30:00,7.879473E+02,0.000000E+00,5.075116E-02,0.000000E+00,1.711511E+02,0.000000E+00,1.102653E-02,0.000000E+00,5.757142E+02,3.082870E+00,3.708214E-02,2.326909E-04
22:00:00,7.879514E+02,0.000000E+00,5.075142E-02,0.000000E+00,1.711519E+02,0.000000E+00,1.102658E-02,0.000000E+00,5.757170E+02,0.000000E+00,3.708232E-02,0.000000E+00
22:30:00,7.879555E+02,0.000000E+00,5.075168E-02,0.000000E+00,1.711527E+02,0.000000E+00,1.102663E-02,0.000000E+00,5.757197E+02,0.000000E+00,3.708249E-02,0.000000E+00
23:00:00,7.879594E+02,0.000000E+00,5.075193E-02,0.000000E+00,1.711535E+02,0.000000E+00,1.102668E-02,0.000000E+00,5.757223E+02,0.000000E+00,3.708266E-02,0.000000E+00
23:30:00,7.879632E+02,0.000000E+00,5.075218E-02,0.000000E+00,1.711542E+02,0.000000E+00,1.102673E-02,0.000000E+00,5.757249E+02,0.000000E+00,3.708283E-02,0.000000E+00
24:00:00,7.879669E+02,0.000000E+00,5.075242E-02,0.000000E+00,1.711549E+02,0.000000E+00,1.102677E-02,0.000000E+00,5.757273E+02,0.000000E+00,3.708299E-02,0.000000E+00
Peak,7.879669E+02,3.573438E+01,5.075242E-02,2.697213E-03,1.711549E+02,4.120598E+00,1.102677E-02,3.108153E-04,5.757273E+02,6.764283E+01,3.708299E-02,5.105877E-03

Peak Vol Flow (m3/s),,,4.428331E-02,2.353415E-03,,,9.621254E-03,2.711975E-04,,,3.235624E-02,4.455061E-03
