Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s]
00:30:00,7.612283E+02,0.000000E+00,4.903037E-02,0.000000E+00,1.671507E+02,0.000000E+00,1.076892E-02,0.000000E+00,5.548703E+02,0.000000E+00,3.573972E-02,0.000000E+00
01:00:00,7.610769E+02,0.000000E+00,4.902061E-02,0.000000E+00,1.671227E+02,0.000000E+00,1.076711E-02,0.000000E+00,5.547733E+02,0.000000E+00,3.573346E-02,0.000000E+00
01:30:00,7.610884E+02,0.000000E+00,4.902135E-02,0.000000E+00,1.671249E+02,0.000000E+00,1.076725E-02,0.000000E+00,5.547807E+02,0.000000E+00,3.573394E-02,0.000000E+00
02:00:00,7.610995E+02,0.000000E+00,4.902207E-02,0.000000E+00,1.671269E+02,0.000000E+00,1.076739E-02,0.000000E+00,5.547879E+02,0.000000E+00,3.573440E-02,0.000000E+00
02:30:00,7.611104E+02,0.000000E+00,4.902277E-02,0.000000E+00,1.671290E+02,0.000000E+00,1.076752E-02,0.000000E+00,5.547949E+02,0.000000E+00,3.573486E-02,0.000000E+00
03:00:00,7.611210E+02,0.000000E+00,4.902345E-02,0.000000E+00,1.671309E+02,0.000000E+00,1.076764E-02,0.000000E+00,5.548017E+02,0.000000E+00,3.573530E-02,0.000000E+00
03:30:00,7.611314E+02,0.000000E+00,4.902412E-02,0.000000E+00,1.671328E+02,0.000000E+00,1.076777E-02,0.000000E+00,5.548084E+02,0.000000E+00,3.573572E-02,0.000000E+00
04:00:00,7.611414E+02,0.000000E+00,4.902476E-02,0.000000E+00,1.671347E+02,0.000000E+00,1.076789E-02,0.000000E+00,5.548148E+02,0.000000E+00,3.573614E-02,0.000000E+00
04:30:00,7.611512E+02,0.000000E+00,4.902539E-02,0.000000E+00,1.671365E+02,0.000000E+00,1.076800E-02,0.000000E+00,5.548211E+02,0.000000E+00,3.573654E-02,0.000000E+00
05:00:00,7.611607E+02,0.000000E+00,4.902601E-02,0.000000E+00,1.671383E+02,0.000000E+00,1.076812E-02,0.000000E+00,5.548272E+02,0.000000E+00,3.573694E-02,0.000000E+00
05:30:00,7.611700E+02,0.000000E+00,4.902660E-02,0.000000E+00,1.671400E+02,0.000000E+00,1.076823E-02,0.000000E+00,5.548332E+02,0.000000E+00,3.573732E-02,0.000000E+00
06:00:00,7.611790E+02,0.000000E+00,4.902719E-02,0.000000E+00,1.671416E+02,0.000000E+00,1.076833E-02,0.000000E+00,5.548390E+02,0.000000E+00,3.573770E-02,0.000000E+00
06:30:00,7.611878E+02,0.000000E+00,4.902775E-02,0.000000E+00,1.671433E+02,0.000000E+00,1.076844E-02,0.000000E+00,5.548446E+02,0.000000E+00,3.573806E-02,0.000000E+00
07:00:00,7.611963E+02,0.000000E+00,4.902830E-02,0.000000E+00,1.671449E+02,0.000000E+00,1.076854E-02,0.000000E+00,5.548501E+02,0.000000E+00,3.573841E-02,0.000000E+00
07:30:00,7.612046E+02,0.000000E+00,4.902884E-02,0.000000E+00,1.671464E+02,0.000000E+00,1.076864E-02,0.000000E+00,5.548554E+02,0.000000E+00,3.573876E-02,0.000000E+00
08:00:00,7.612127E+02,0.000000E+00,4.902936E-02,0.000000E+00,1.671479E+02,0.000000E+00,1.076874E-02,0.000000E+00,5.548606E+02,0.000000E+00,3.573909E-02,0.000000E+00
08:30:00,7.612206E+02,0.000000E+00,4.902987E-02,0.000000E+00,1.671493E+02,0.000000E+00,1.076883E-02,0.000000E+00,5.548657E+02,0.000000E+00,3.573942E-02,0.000000E+00
09:00:00,7.612283E+02,0.000000E+00,4.903036E-02,0.000000E+00,1.671508E+02,0.000000E+00,1.076892E-02,0.000000E+00,5.548706E+02,0.000000E+00,3.573973E-02,0.000000E+00
09:30:00,7.612357E+02,0.000000E+00,4.903084E-02,0.000000E+00,1.671521E+02,0.000000E+00,1.076901E-02,0.000000E+00,5.548754E+02,0.000000E+00,3.574004E-02,0.000000E+00
10:00:00,7.612430E+02,0.000000E+00,4.903131E-02,0.000000E+00,1.671535E+02,0.000000E+00,1.076910E-02,0.000000E+00,5.548800E+02,0.000000E+00,3.574034E-02,0.000000E+00
10:30:00,7.612501E+02,0.000000E+00,4.903177E-02,0.000000E+00,1.671548E+02,0.000000E+00,1.076918E-02,0.000000E+00,5.548846E+02,0.000000E+00,3.574063E-02,0.000000E+00
11:00:00,7.612570E+02,0.000000E+00,4.903221E-02,0.000000E+00,1.671561E+02,0.000000E+00,1.076926E-02,0.000000E+00,5.548890E+02,0.000000E+00,3.574092E-02,0.000000E+00
11:30:00,7.612637E+02,0.000000E+00,4.903264E-02,0.000000E+00,1.671573E+02,0.000000E+00,1.076934E-02,0.000000E+00,5.548933E+02,0.000000E+00,3.574119E-02,0.000000E+00
12:00:00,7.612702E+02,0.000000E+00,4.903306E-02,0.000000E+00,1.671585E+02,0.000000E+00,1.076942E-02,0.000000E+00,5.548975E+02,8.981420E+00,3.574146E-02,6.785382E-04
12:30:00,7.612765E+02,6.996726E+00,4.903347E-02,5.297632E-04,1.671597E+02,0.000000E+00,1.076950E-02,0.000000E+00,5.549015E+02,2.382783E+01,3.574173E-02,1.799139E-03
13:00:00,7.612827E+02,2.412574E+01,4.903387E-02,1.822647E-03,1.671608E+02,0.000000E+00,1.076957E-02,0.000000E+00,5.549055E+02,3.719630E+01,3.574198E-02,2.807576E-03
13:30:00,7.612887E+02,4.155956E+01,4.903426E-02,3.136891E-03,1.671619E+02,9.642010E-01,1.076964E-02,7.306329E-05,5.549093E+02,5.000793E+01,3.574223E-02,3.774648E-03
14:00:00,7.612946E+02,5.679185E+01,4.903464E-02,4.286654E-03,1.671630E+02,4.337412E+00,1.076971E-02,3.276681E-04,5.549131E+02,6.018510E+01,3.574247E-02,4.542895E-03
