Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s]
00:30:00,7.351326E+02,0.000000E+00,4.734900E-02,0.000000E+00,1.597840E+02,0.000000E+00,1.029420E-02,0.000000E+00,5.315299E+02,0.000000E+00,3.423599E-02,0.000000E+00
01:00:00,7.349379E+02,0.000000E+00,4.733645E-02,0.000000E+00,1.597470E+02,0.000000E+00,1.029182E-02,0.000000E+00,5.314025E+02,0.000000E+00,3.422778E-02,0.000000E+00
01:30:00,7.349524E+02,0.000000E+00,4.733738E-02,0.000000E+00,1.597498E+02,0.000000E+00,1.029200E-02,0.000000E+00,5.314121E+02,0.000000E+00,3.422839E-02,0.000000E+00
02:00:00,7.349665E+02,0.000000E+00,4.733829E-02,0.000000E+00,1.597525E+02,0.000000E+00,1.029217E-02,0.000000E+00,5.314213E+02,0.000000E+00,3.422899E-02,0.000000E+00
02:30:00,7.349802E+02,0.000000E+00,4.733918E-02,0.000000E+00,1.597551E+02,0.000000E+00,1.029234E-02,0.000000E+00,5.314304E+02,0.000000E+00,3.422957E-02,0.000000E+00
03:00:00,7.349936E+02,0.000000E+00,4.734004E-02,0.000000E+00,1.597576E+02,0.000000E+00,1.029250E-02,0.000000E+00,5.314391E+02,0.000000E+00,3.423014E-02,0.000000E+00
03:30:00,7.350067E+02,0.000000E+00,4.734089E-02,0.000000E+00,1.597601E+02,0.000000E+00,1.029266E-02,0.000000E+00,5.314477E+02,0.000000E+00,3.423069E-02,0.000000E+00
04:00:00,7.350194E+02,0.000000E+00,4.734171E-02,0.000000E+00,1.597625E+02,0.000000E+00,1.029282E-02,0.000000E+00,5.314561E+02,0.000000E+00,3.423123E-02,0.000000E+00
04:30:00,7.350318E+02,0.000000E+00,4.734250E-02,0.000000E+00,1.597649E+02,0.000000E+00,1.029297E-02,0.000000E+00,5.314642E+02,0.000000E+00,3.423175E-02,0.000000E+00
05:00:00,7.350439E+02,0.000000E+00,4.734328E-02,0.000000E+00,1.597672E+02,0.000000E+00,1.029312E-02,0.000000E+00,5.314721E+02,0.000000E+00,3.423226E-02,0.000000E+00
05:30:00,7.350557E+02,0.000000E+00,4.734404E-02,0.000000E+00,1.597694E+02,0.000000E+00,1.029326E-02,0.000000E+00,5.314798E+02,0.000000E+00,3.423276E-02,0.000000E+00
06:00:00,7.350672E+02,0.000000E+00,4.734478E-02,0.000000E+00,1.597716E+02,0.000000E+00,1.029340E-02,0.000000E+00,5.314874E+02,0.000000E+00,3.423325E-02,0.000000E+00
06:30:00,7.350783E+02,0.000000E+00,4.734550E-02,0.000000E+00,1.597737E+02,0.000000E+00,1.029354E-02,0.000000E+00,5.314947E+02,0.000000E+00,3.423372E-02,0.000000E+00
07:00:00,7.350892E+02,0.000000E+00,4.734620E-02,0.000000E+00,1.597758E+02,0.000000E+00,1.029367E-02,0.000000E+00,5.315018E+02,0.000000E+00,3.423418E-02,0.000000E+00
07:30:00,7.350999E+02,0.000000E+00,4.734689E-02,0.000000E+00,1.597778E+02,0.000000E+00,1.029380E-02,0.000000E+00,5.315088E+02,0.000000E+00,3.423463E-02,0.000000E+00
08:00:00,7.351102E+02,6.053064E+00,4.734756E-02,4.570332E-04,1.597798E+02,0.000000E+00,1.029393E-02,0.000000E+00,5.315156E+02,0.000000E+00,3.423506E-02,0.000000E+00
08:30:00,7.351203E+02,3.131155E+01,4.734820E-02,2.363685E-03,1.597817E+02,0.000000E+00,1.029405E-02,0.000000E+00,5.315222E+02,0.000000E+00,3.423549E-02,0.000000E+00
09:00:00,7.351301E+02,6.837001E+01,4.734884E-02,5.160740E-03,1.597836E+02,0.000000E+00,1.029417E-02,0.000000E+00,5.315286E+02,0.000000E+00,3.423590E-02,0.000000E+00
09:30:00,7.351397E+02,1.010934E+02,4.734946E-02,7.630648E-03,1.597854E+02,0.000000E+00,1.029429E-02,0.000000E+00,5.315349E+02,0.000000E+00,3.423631E-02,0.000000E+00
10:00:00,7.351490E+02,1.301054E+02,4.735006E-02,9.820779E-03,1.597871E+02,0.000000E+00,1.029441E-02,0.000000E+00,5.315410E+02,0.000000E+00,3.423670E-02,0.000000E+00
10:30:00,7.351581E+02,1.561639E+02,4.735064E-02,1.178809E-02,1.597889E+02,0.000000E+00,1.029452E-02,0.000000E+00,5.315469E+02,0.000000E+00,3.423708E-02,0.000000E+00
11:00:00,7.351670E+02,1.792362E+02,4.735121E-02,1.352987E-02,1.597905E+02,3.082067E+00,1.029462E-02,2.334016E-04,5.315527E+02,0.000000E+00,3.423746E-02,0.000000E+00
11:30:00,7.351756E+02,1.972170E+02,4.735177E-02,1.488727E-02,1.597922E+02,8.894658E+00,1.029473E-02,6.721410E-04,5.315583E+02,1.020640E+01,3.423782E-02,7.709348E-04
12:00:00,7.351840E+02,2.102023E+02,4.735231E-02,1.586751E-02,1.597938E+02,1.439840E+01,1.029483E-02,1.086802E-03,5.315638E+02,2.605066E+01,3.423817E-02,1.966857E-03
12:30:00,7.351922E+02,2.204649E+02,4.735284E-02,1.664219E-02,1.597953E+02,1.952733E+01,1.029493E-02,1.473952E-03,5.315692E+02,3.918772E+01,3.423852E-02,2.957899E-03
13:00:00,7.352002E+02,2.297293E+02,4.735335E-02,1.734150E-02,1.597968E+02,2.393429E+01,1.029503E-02,1.806628E-03,5.315744E+02,5.318250E+01,3.423886E-02,4.014284E-03
13:30:00,7.352080E+02,2.386360E+02,4.735386E-02,1.801384E-02,1.597983E+02,2.739530E+01,1.029513E-02,2.067903E-03,5.315795E+02,6.432895E+01,3.423918E-02,4.855706E-03
14:00:00,7.352156E+02,2.461220E+02,4.735435E-02,1.857894E-02,1.597997E+02,3.008956E+01,1.029522E-02,2.271301E-03,5.315844E+02,7.331496E+01,3.423950E-02,5.534051E-03
14:30:00,7.352230E+02,2.500082E+02,4.735482E-02,1.887231E-02,1.598011E+02,3.190869E+01,1.029531E-02,2.408631E-03,5.315893E+02,7.933877E+01,3.423981E-02,5.988788E-03
15:00:00,7.352302E+02,2.501855E+02,4.735529E-02,1.888567E-02,1.598025E+02,3.287709E+01,1.029540E-02,2.481728E-03,5.315940E+02,8.245063E+01,3.424012E-02,6.223702E-03
15:30:00,7.352372E+02,2.458907E+02,4.735574E-02,1.856143E-02,1.598038E+02,3.279099E+01,1.029548E-02,2.475221E-03,5.315986E+02,8.218925E+01,3.424041E-02,6.203973E-03
16:00:00,7.352440E+02,2.370594E+02,4.735618E-02,1.789473E-02,1.598051E+02,3.166037E+01,1.029557E-02,2.389868E-03,5.316030E+02,7.859728E+01,3.424070E-02,5.932822E-03
16:30:00,7.352507E+02,2.264526E+02,4.735661E-02,1.709398E-02,1.598064E+02,3.006612E+01,1.029565E-02,2.269515E-03,5.316074E+02,7.361637E+01,3.424098E-02,5.556818E-03
17:00:00,7.352572E+02,2.140402E+02,4.735703E-02,1.615694E-02,1.598076E+02,2.801908E+01,1.029573E-02,2.114986E-03,5.316116E+02,6.727547E+01,3.424125E-02,5.078158E-03
17:30:00,7.352635E+02,2.133218E+02,4.735743E-02,1.610264E-02,1.598088E+02,2.811789E+01,1.029580E-02,2.122434E-03,5.316157E+02,6.859103E+01,3.424152E-02,5.177429E-03
18:00:00,7.352697E+02,2.115920E+02,4.735783E-02,1.597209E-02,1.598100E+02,2.793909E+01,1.029588E-02,2.108942E-03,5.316197E+02,6.906117E+01,3.424178E-02,5.212929E-03
18:30:00,7.352757E+02,1.930274E+02,4.735822E-02,1.457075E-02,1.598111E+02,2.445981E+01,1.029595E-02,1.846317E-03,5.316237E+02,5.704253E+01,3.424203E-02,4.305741E-03
19:00:00,7.352815E+02,1.703258E+02,4.735860E-02,1.285701E-02,1.598122E+02,2.013618E+01,1.029602E-02,1.519941E-03,5.316275E+02,4.415591E+01,3.424227E-02,3.332984E-03
19:30:00,7.352872E+02,1.503822E+02,4.735896E-02,1.135146E-02,1.598133E+02,1.638104E+01,1.029609E-02,1.236478E-03,5.316312E+02,3.388112E+01,3.424251E-02,2.557387E-03
20:00:00,7.352928E+02,1.337511E+02,4.735932E-02,1.009600E-02,1.598144E+02,1.331926E+01,1.029616E-02,1.005358E-03,5.316348E+02,2.387869E+01,3.424275E-02,1.802374E-03
20:30:00,7.352982E+02,1.189506E+02,4.735967E-02,8.978753E-03,1.598154E+02,1.062753E+01,1.029623E-02,8.021758E-04,5.316383E+02,1.554618E+01,3.424297E-02,1.173421E-03
21:00:00,7.353035E+02,1.056526E+02,4.736001E-02,7.974937E-03,1.598164E+02,8.233708E+00,1.029629E-02,6.214837E-04,5.316418E+02,8.241359E+00,3.424320E-02,6.220500E-04
21:30:00,7.353086E+02,8.886539E+01,4.736034E-02,6.707759E-03,1.598174E+02,5.181522E+00,1.029635E-02,3.911010E-04,5.316451E+02,2.280296E+00,3.424341E-02,1.721135E-04
22:00:00,7.353137E+02,7.200790E+01,4.736067E-02,5.435252E-03,1.598183E+02,1.661765E+00,1.029641E-02,1.254293E-04,5.316484E+02,0.000000E+00,3.424362E-02,0.000000E+00
22:30:00,7.353185E+02,4.658804E+01,4.736098E-02,3.516469E-03,1.598192E+02,0.000000E+00,1.029647E-02,0.000000E+00,5.316515E+02,0.000000E+00,3.424383E-02,0.000000E+00
23:00:00,7.353233E+02,2.186617E+01,4.736129E-02,1.650433E-03,1.598201E+02,0.000000E+00,1.029653E-02,0.000000E+00,5.316546E+02,0.000000E+00,3.424403E-02,0.000000E+00
23:30:00,7.353279E+02,9.842529E+00,4.736159E-02,7.428982E-04,1.598210E+02,0.000000E+00,1.029659E-02,0.000000E+00,5.316577E+02,0.000000E+00,3.424422E-02,0.000000E+00
24:00:00,7.353325E+02,1.917317E+00,4.736188E-02,1.447157E-04,1.598219E+02,0.000000E+00,1.029664E-02,0.000000E+00,5.316606E+02,0.000000E+00,3.424441E-02,0.000000E+00
Peak,7.353325E+02,2.501855E+02,4.736188E-02,1.888567E-02,1.598219E+02,3.287709E+01,1.029664E-02,2.481728E-03,5.316606E+02,8.245063E+01,3.424441E-02,6.223702E-03

Peak Vol Flow (m3/s),,,4.132494E-02,1.647843E-02,,,8.984191E-03,2.165397E-03,,,2.987948E-02,5.430403E-03
