Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1::Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1::Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2::Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2::Des Cool Mass Flow [kg/s]
00:30:00,6.266082E+02,0.000000E+00,4.035520E-02,0.000000E+00,1.274474E+02,0.000000E+00,8.210182E-03,0.000000E+00,4.337356E+02,0.000000E+00,2.793458E-02,0.000000E+00
01:00:00,6.259455E+02,0.000000E+00,4.031246E-02,0.000000E+00,1.273042E+02,0.000000E+00,8.200950E-03,0.000000E+00,4.332615E+02,0.000000E+00,2.790402E-02,0.000000E+00
01:30:00,6.259895E+02,0.000000E+00,4.031530E-02,0.000000E+00,1.273137E+02,0.000000E+00,8.201564E-03,0.000000E+00,4.332931E+02,0.000000E+00,2.790605E-02,0.000000E+00
02:00:00,6.260327E+02,0.000000E+00,4.031808E-02,0.000000E+00,1.273231E+02,0.000000E+00,8.202167E-03,0.000000E+00,4.333239E+02,0.000000E+00,2.790804E-02,0.000000E+00
02:30:00,6.260749E+02,0.000000E+00,4.032081E-02,0.000000E+00,1.273322E+02,0.000000E+00,8.202757E-03,0.000000E+00,4.333542E+02,0.000000E+00,2.791000E-02,0.000000E+00
03:00:00,6.261164E+02,0.000000E+00,4.032348E-02,0.000000E+00,1.273412E+02,0.000000E+00,8.203336E-03,0.000000E+00,4.333839E+02,0.000000E+00,2.791191E-02,0.000000E+00
03:30:00,6.261570E+02,0.000000E+00,4.032610E-02,0.000000E+00,1.273500E+02,0.000000E+00,8.203904E-03,0.000000E+00,4.334130E+02,0.000000E+00,2.791379E-02,0.000000E+00
04:00:00,6.261969E+02,0.000000E+00,4.032867E-02,0.000000E+00,1.273586E+02,0.000000E+00,8.204460E-03,0.000000E+00,4.334415E+02,0.000000E+00,2.791562E-02,0.000000E+00
04:30:00,6.262359E+02,0.000000E+00,4.033119E-02,0.000000E+00,1.273671E+02,0.000000E+00,8.205005E-03,0.000000E+00,4.334695E+02,0.000000E+00,2.791743E-02,0.000000E+00
05:00:00,6.262742E+02,0.000000E+00,4.033366E-02,0.000000E+00,1.273754E+02,0.000000E+00,8.205539E-03,0.000000E+00,4.334969E+02,0.000000E+00,2.791919E-02,0.000000E+00
05:30:00,6.263117E+02,0.000000E+00,4.033608E-02,0.000000E+00,1.273835E+02,0.000000E+00,8.206063E-03,0.000000E+00,4.335238E+02,0.000000E+00,2.792093E-02,0.000000E+00
06:00:00,6.263485E+02,0.000000E+00,4.033845E-02,0.000000E+00,1.273915E+02,0.000000E+00,8.206576E-03,0.000000E+00,4.335501E+02,0.000000E+00,2.792262E-02,0.000000E+00
06:30:00,6.263846E+02,0.000000E+00,4.034078E-02,0.000000E+00,1.273993E+02,0.000000E+00,8.207079E-03,0.000000E+00,4.335759E+02,0.000000E+00,2.792429E-02,0.000000E+00
07:00:00,6.264199E+02,0.000000E+00,4.034306E-02,0.000000E+00,1.274069E+02,0.000000E+00,8.207572E-03,0.000000E+00,4.336012E+02,0.000000E+00,2.792592E-02,0.000000E+00
07:30:00,6.264546E+02,0.000000E+00,4.034529E-02,0.000000E+00,1.274144E+02,0.000000E+00,8.208055E-03,0.000000E+00,4.336260E+02,0.000000E+00,2.792752E-02,0.000000E+00
08:00:00,6.264886E+02,0.000000E+00,4.034748E-02,0.000000E+00,1.274218E+02,0.000000E+00,8.208529E-03,0.000000E+00,4.336503E+02,0.000000E+00,2.792909E-02,0.000000E+00
08:30:00,6.265219E+02,0.000000E+00,4.034963E-02,0.000000E+00,1.274290E+02,0.000000E+00,8.208993E-03,0.000000E+00,4.336742E+02,0.000000E+00,2.793062E-02,0.000000E+00
09:00:00,6.265545E+02,0.000000E+00,4.035174E-02,0.000000E+00,1.274360E+02,0.000000E+00,8.209449E-03,0.000000E+00,4.336975E+02,0.000000E+00,2.793213E-02,0.000000E+00
09:30:00,6.265865E+02,0.000000E+00,4.035380E-02,0.000000E+00,1.274429E+02,0.000000E+00,8.209895E-03,0.000000E+00,4.337204E+02,0.000000E+00,2.793360E-02,0.000000E+00
10:00:00,6.266179E+02,0.000000E+00,4.035582E-02,0.000000E+00,1.274497E+02,0.000000E+00,8.210332E-03,0.000000E+00,4.337429E+02,0.000000E+00,2.793505E-02,0.000000E+00
10:30:00,6.266486E+02,0.000000E+00,4.035781E-02,0.000000E+00,1.274563E+02,0.000000E+00,8.210760E-03,0.000000E+00,4.337649E+02,0.000000E+00,2.793647E-02,0.000000E+00
11:00:00,6.266788E+02,5.553074E+00,4.035975E-02,4.213047E-04,1.274629E+02,0.000000E+00,8.211180E-03,0.000000E+00,4.337864E+02,0.000000E+00,2.793786E-02,0.000000E+00
11:30:00,6.267083E+02,2.083541E+01,4.036166E-02,1.574806E-03,1.274692E+02,0.000000E+00,8.211592E-03,0.000000E+00,4.338076E+02,0.000000E+00,2.793922E-02,0.000000E+00
12:00:00,6.267373E+02,3.762487E+01,4.036353E-02,2.839903E-03,1.274755E+02,0.000000E+00,8.211995E-03,0.000000E+00,4.338283E+02,0.000000E+00,2.794056E-02,0.000000E+00
12:30:00,6.267657E+02,5.243337E+01,4.036536E-02,3.957670E-03,1.274816E+02,0.000000E+00,8.212391E-03,0.000000E+00,4.338486E+02,0.000000E+00,2.794187E-02,0.000000E+00
13:00:00,6.267935E+02,6.714160E+01,4.036715E-02,5.067908E-03,1.274876E+02,0.000000E+00,8.212778E-03,0.000000E+00,4.338685E+02,0.000000E+00,2.794315E-02,0.000000E+00
13:30:00,6.268208E+02,7.888942E+01,4.036891E-02,5.954708E-03,1.274935E+02,0.000000E+00,8.213158E-03,0.000000E+00,4.338880E+02,0.000000E+00,2.794441E-02,0.000000E+00
14:00:00,6.268476E+02,8.834979E+01,4.037064E-02,6.668842E-03,1.274993E+02,0.000000E+00,8.213530E-03,0.000000E+00,4.339072E+02,0.000000E+00,2.794564E-02,0.000000E+00
14:30:00,6.268738E+02,9.423293E+01,4.037233E-02,7.112950E-03,1.275050E+02,0.000000E+00,8.213895E-03,0.000000E+00,4.339259E+02,0.000000E+00,2.794685E-02,0.000000E+00
15:00:00,6.268995E+02,9.657328E+01,4.037399E-02,7.289620E-03,1.275105E+02,0.000000E+00,8.214253E-03,0.000000E+00,4.339443E+02,0.000000E+00,2.794804E-02,0.000000E+00
15:30:00,6.269247E+02,9.471964E+01,4.037561E-02,7.149699E-03,1.275160E+02,0.000000E+00,8.214604E-03,0.000000E+00,4.339623E+02,0.000000E+00,2.794920E-02,0.000000E+00
16:00:00,6.269494E+02,8.867318E+01,4.037720E-02,6.693277E-03,1.275213E+02,0.000000E+00,8.214947E-03,0.000000E+00,4.339800E+02,0.000000E+00,2.795034E-02,0.000000E+00
16:30:00,6.269736E+02,8.110923E+01,4.037876E-02,6.122299E-03,1.275265E+02,0.000000E+00,8.215284E-03,0.000000E+00,4.339973E+02,0.000000E+00,2.795145E-02,0.000000E+00
17:00:00,6.269973E+02,7.202250E+01,4.038029E-02,5.436383E-03,1.275316E+02,0.000000E+00,8.215614E-03,0.000000E+00,4.340142E+02,0.000000E+00,2.795255E-02,0.000000E+00
17:30:00,6.270206E+02,7.484398E+01,4.038179E-02,5.649317E-03,1.275366E+02,0.000000E+00,8.215937E-03,0.000000E+00,4.340309E+02,0.000000E+00,2.795362E-02,0.000000E+00
18:00:00,6.270434E+02,7.685898E+01,4.038326E-02,5.801427E-03,1.275416E+02,0.000000E+00,8.216254E-03,0.000000E+00,4.340471E+02,0.000000E+00,2.795467E-02,0.000000E+00
18:30:00,6.270657E+02,6.238969E+01,4.038471E-02,4.709279E-03,1.275464E+02,0.000000E+00,8.216565E-03,0.000000E+00,4.340631E+02,0.000000E+00,2.795570E-02,0.000000E+00
19:00:00,6.270876E+02,4.405876E+01,4.038612E-02,3.325600E-03,1.275511E+02,0.000000E+00,8.216870E-03,0.000000E+00,4.340788E+02,0.000000E+00,2.795671E-02,0.000000E+00
19:30:00,6.271091E+02,2.821149E+01,4.038750E-02,2.129404E-03,1.275557E+02,0.000000E+00,8.217168E-03,0.000000E+00,4.340941E+02,0.000000E+00,2.795770E-02,0.000000E+00
20:00:00,6.271302E+02,1.497836E+01,4.038886E-02,1.130555E-03,1.275603E+02,0.000000E+00,8.217461E-03,0.000000E+00,4.341092E+02,0.000000E+00,2.795867E-02,0.000000E+00
20:30:00,6.271508E+02,4.169241E+00,4.039019E-02,3.146889E-04,1.275647E+02,0.000000E+00,8.217747E-03,0.000000E+00,4.341239E+02,0.000000E+00,2.795962E-02,0.000000E+00
21:00:00,6.271710E+02,0.000000E+00,4.039150E-02,0.000000E+00,1.275691E+02,0.000000E+00,8.218028E-03,0.000000E+00,4.341384E+02,0.000000E+00,2.796055E-02,0.000000E+00
21:30:00,6.271908E+02,0.000000E+00,4.039277E-02,0.000000E+00,1.275733E+02,0.000000E+00,8.218304E-03,0.000000E+00,4.341525E+02,0.000000E+00,2.796146E-02,0.000000E+00
22:00:00,6.272103E+02,0.000000E+00,4.039403E-02,0.000000E+00,1.275775E+02,0.000000E+00,8.218574E-03,0.000000E+00,4.341664E+02,0.000000E+00,2.796236E-02,0.000000E+00
22:30:00,6.272293E+02,0.000000E+00,4.039525E-02,0.000000E+00,1.275816E+02,0.000000E+00,8.218838E-03,0.000000E+00,4.341800E+02,0.000000E+00,2.796324E-02,0.000000E+00
23:00:00,6.272480E+02,0.000000E+00,4.039646E-02,0.000000E+00,1.275856E+02,0.000000E+00,8.219097E-03,0.000000E+00,4.341934E+02,0.000000E+00,2.796410E-02,0.000000E+00
23:30:00,6.272663E+02,0.000000E+00,4.039764E-02,0.000000E+00,1.275896E+02,0.000000E+00,8.219352E-03,0.000000E+00,4.342064E+02,0.000000E+00,2.796494E-02,0.000000E+00
24:00:00,6.272842E+02,0.000000E+00,4.039880E-02,0.000000E+00,1.275934E+02,0.000000E+00,8.219601E-03,0.000000E+00,4.342192E+02,0.000000E+00,2.796577E-02,0.000000E+00
Peak,6.272842E+02,9.657328E+01,4.039880E-02,7.289620E-03,1.275934E+02,0.000000E+00,8.219601E-03,0.000000E+00,4.342192E+02,0.000000E+00,2.796577E-02,0.000000E+00

Peak Vol Flow (m3/s),,,3.524940E-02,6.360455E-03,,,7.171897E-03,0.000000E+00,,,2.440113E-02,0.000000E+00
