Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1::Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1::Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2::Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2::Des Cool Mass Flow [kg/s]
00:30:00,5.586497E+02,0.000000E+00,3.598195E-02,0.000000E+00,1.126189E+02,0.000000E+00,7.255592E-03,0.000000E+00,3.725763E+02,0.000000E+00,2.399864E-02,0.000000E+00
01:00:00,5.580253E+02,0.000000E+00,3.594168E-02,0.000000E+00,1.124842E+02,0.000000E+00,7.246905E-03,0.000000E+00,3.721296E+02,0.000000E+00,2.396985E-02,0.000000E+00
01:30:00,5.580671E+02,0.000000E+00,3.594438E-02,0.000000E+00,1.124932E+02,0.000000E+00,7.247489E-03,0.000000E+00,3.721596E+02,0.000000E+00,2.397178E-02,0.000000E+00
02:00:00,5.581081E+02,0.000000E+00,3.594703E-02,0.000000E+00,1.125021E+02,0.000000E+00,7.248061E-03,0.000000E+00,3.721890E+02,0.000000E+00,2.397367E-02,0.000000E+00
02:30:00,5.581483E+02,0.000000E+00,3.594962E-02,0.000000E+00,1.125108E+02,0.000000E+00,7.248622E-03,0.000000E+00,3.722178E+02,0.000000E+00,2.397553E-02,0.000000E+00
03:00:00,5.581877E+02,0.000000E+00,3.595216E-02,0.000000E+00,1.125193E+02,0.000000E+00,7.249171E-03,0.000000E+00,3.722460E+02,0.000000E+00,2.397735E-02,0.000000E+00
03:30:00,5.582263E+02,0.000000E+00,3.595465E-02,0.000000E+00,1.125277E+02,0.000000E+00,7.249709E-03,0.000000E+00,3.722736E+02,0.000000E+00,2.397913E-02,0.000000E+00
04:00:00,5.582641E+02,0.000000E+00,3.595708E-02,0.000000E+00,1.125358E+02,0.000000E+00,7.250236E-03,0.000000E+00,3.723007E+02,0.000000E+00,2.398088E-02,0.000000E+00
04:30:00,5.583011E+02,0.000000E+00,3.595947E-02,0.000000E+00,1.125439E+02,0.000000E+00,7.250752E-03,0.000000E+00,3.723273E+02,0.000000E+00,2.398259E-02,0.000000E+00
05:00:00,5.583374E+02,0.000000E+00,3.596181E-02,0.000000E+00,1.125517E+02,0.000000E+00,7.251258E-03,0.000000E+00,3.723532E+02,0.000000E+00,2.398426E-02,0.000000E+00
05:30:00,5.583730E+02,0.000000E+00,3.596411E-02,0.000000E+00,1.125594E+02,0.000000E+00,7.251754E-03,0.000000E+00,3.723787E+02,0.000000E+00,2.398590E-02,0.000000E+00
06:00:00,5.584079E+02,0.000000E+00,3.596635E-02,0.000000E+00,1.125669E+02,0.000000E+00,7.252239E-03,0.000000E+00,3.724037E+02,0.000000E+00,2.398751E-02,0.000000E+00
06:30:00,5.584420E+02,0.000000E+00,3.596855E-02,0.000000E+00,1.125743E+02,0.000000E+00,7.252715E-03,0.000000E+00,3.724281E+02,0.000000E+00,2.398909E-02,0.000000E+00
07:00:00,5.584755E+02,0.000000E+00,3.597071E-02,0.000000E+00,1.125815E+02,0.000000E+00,7.253180E-03,0.000000E+00,3.724521E+02,0.000000E+00,2.399063E-02,0.000000E+00
07:30:00,5.585082E+02,0.000000E+00,3.597282E-02,0.000000E+00,1.125886E+02,0.000000E+00,7.253637E-03,0.000000E+00,3.724755E+02,0.000000E+00,2.399214E-02,0.000000E+00
08:00:00,5.585404E+02,0.000000E+00,3.597490E-02,0.000000E+00,1.125955E+02,0.000000E+00,7.254084E-03,0.000000E+00,3.724985E+02,0.000000E+00,2.399363E-02,0.000000E+00
08:30:00,5.585718E+02,0.000000E+00,3.597693E-02,0.000000E+00,1.126023E+02,0.000000E+00,7.254522E-03,0.000000E+00,3.725210E+02,0.000000E+00,2.399508E-02,0.000000E+00
09:00:00,5.586027E+02,0.000000E+00,3.597891E-02,0.000000E+00,1.126090E+02,0.000000E+00,7.254951E-03,0.000000E+00,3.725431E+02,0.000000E+00,2.399650E-02,0.000000E+00
09:30:00,5.586329E+02,0.000000E+00,3.598086E-02,0.000000E+00,1.126155E+02,0.000000E+00,7.255371E-03,0.000000E+00,3.725647E+02,0.000000E+00,2.399789E-02,0.000000E+00
10:00:00,5.586625E+02,0.000000E+00,3.598277E-02,0.000000E+00,1.126219E+02,0.000000E+00,7.255783E-03,0.000000E+00,3.725859E+02,0.000000E+00,2.399926E-02,0.000000E+00
10:30:00,5.586915E+02,0.000000E+00,3.598464E-02,0.000000E+00,1.126281E+02,0.000000E+00,7.256187E-03,0.000000E+00,3.726066E+02,0.000000E+00,2.400060E-02,0.000000E+00
11:00:00,5.587199E+02,0.000000E+00,3.598647E-02,0.000000E+00,1.126343E+02,0.000000E+00,7.256582E-03,0.000000E+00,3.726270E+02,0.000000E+00,2.400191E-02,0.000000E+00
11:30:00,5.587477E+02,6.766773E+00,3.598827E-02,5.116988E-04,1.126403E+02,0.000000E+00,7.256969E-03,0.000000E+00,3.726469E+02,0.000000E+00,2.400319E-02,0.000000E+00
12:00:00,5.587750E+02,1.988279E+01,3.599003E-02,1.501681E-03,1.126462E+02,0.000000E+00,7.257349E-03,0.000000E+00,3.726664E+02,0.000000E+00,2.400445E-02,0.000000E+00
12:30:00,5.588017E+02,3.263214E+01,3.599175E-02,2.463046E-03,1.126519E+02,0.000000E+00,7.257720E-03,0.000000E+00,3.726855E+02,0.000000E+00,2.400568E-02,0.000000E+00
13:00:00,5.588279E+02,4.547038E+01,3.599344E-02,3.432094E-03,1.126576E+02,0.000000E+00,7.258084E-03,0.000000E+00,3.727042E+02,0.000000E+00,2.400689E-02,0.000000E+00
13:30:00,5.588536E+02,5.625352E+01,3.599509E-02,4.246050E-03,1.126631E+02,0.000000E+00,7.258441E-03,0.000000E+00,3.727226E+02,0.000000E+00,2.400807E-02,0.000000E+00
14:00:00,5.588787E+02,6.482727E+01,3.599671E-02,4.893242E-03,1.126685E+02,0.000000E+00,7.258790E-03,0.000000E+00,3.727405E+02,0.000000E+00,2.400923E-02,0.000000E+00
14:30:00,5.589033E+02,7.028058E+01,3.599830E-02,5.304895E-03,1.126738E+02,0.000000E+00,7.259132E-03,0.000000E+00,3.727582E+02,0.000000E+00,2.401036E-02,0.000000E+00
15:00:00,5.589275E+02,7.265189E+01,3.599986E-02,5.483899E-03,1.126790E+02,0.000000E+00,7.259468E-03,0.000000E+00,3.727754E+02,0.000000E+00,2.401148E-02,0.000000E+00
15:30:00,5.589511E+02,7.136908E+01,3.600138E-02,5.387071E-03,1.126841E+02,0.000000E+00,7.259796E-03,0.000000E+00,3.727923E+02,0.000000E+00,2.401256E-02,0.000000E+00
16:00:00,5.589743E+02,6.643867E+01,3.600287E-02,5.014902E-03,1.126891E+02,0.000000E+00,7.260118E-03,0.000000E+00,3.728089E+02,0.000000E+00,2.401363E-02,0.000000E+00
16:30:00,5.589970E+02,6.019031E+01,3.600434E-02,4.543245E-03,1.126940E+02,0.000000E+00,7.260433E-03,0.000000E+00,3.728251E+02,0.000000E+00,2.401468E-02,0.000000E+00
17:00:00,5.590192E+02,5.261485E+01,3.600577E-02,3.971419E-03,1.126988E+02,0.000000E+00,7.260742E-03,0.000000E+00,3.728410E+02,0.000000E+00,2.401570E-02,0.000000E+00
17:30:00,5.590410E+02,5.527782E+01,3.600718E-02,4.172396E-03,1.127035E+02,0.000000E+00,7.261044E-03,0.000000E+00,3.728565E+02,0.000000E+00,2.401671E-02,0.000000E+00
18:00:00,5.590623E+02,5.729787E+01,3.600855E-02,4.324882E-03,1.127081E+02,0.000000E+00,7.261340E-03,0.000000E+00,3.728718E+02,0.000000E+00,2.401769E-02,0.000000E+00
18:30:00,5.590832E+02,4.513676E+01,3.600990E-02,3.406964E-03,1.127126E+02,0.000000E+00,7.261631E-03,0.000000E+00,3.728867E+02,0.000000E+00,2.401865E-02,0.000000E+00
19:00:00,5.591037E+02,2.964359E+01,3.601122E-02,2.237508E-03,1.127170E+02,0.000000E+00,7.261915E-03,0.000000E+00,3.729014E+02,0.000000E+00,2.401960E-02,0.000000E+00
19:30:00,5.591238E+02,1.626742E+01,3.601252E-02,1.227856E-03,1.127213E+02,0.000000E+00,7.262194E-03,0.000000E+00,3.729157E+02,0.000000E+00,2.402052E-02,0.000000E+00
20:00:00,5.591434E+02,5.347103E+00,3.601378E-02,4.035929E-04,1.127255E+02,0.000000E+00,7.262467E-03,0.000000E+00,3.729298E+02,0.000000E+00,2.402143E-02,0.000000E+00
20:30:00,5.591627E+02,0.000000E+00,3.601503E-02,0.000000E+00,1.127297E+02,0.000000E+00,7.262734E-03,0.000000E+00,3.729435E+02,0.000000E+00,2.402231E-02,0.000000E+00
21:00:00,5.591816E+02,0.000000E+00,3.601624E-02,0.000000E+00,1.127337E+02,0.000000E+00,7.262996E-03,0.000000E+00,3.729570E+02,0.000000E+00,2.402318E-02,0.000000E+00
21:30:00,5.592001E+02,0.000000E+00,3.601743E-02,0.000000E+00,1.127377E+02,0.000000E+00,7.263252E-03,0.000000E+00,3.729702E+02,0.000000E+00,2.402403E-02,0.000000E+00
22:00:00,5.592182E+02,0.000000E+00,3.601860E-02,0.000000E+00,1.127416E+02,0.000000E+00,7.263504E-03,0.000000E+00,3.729831E+02,0.000000E+00,2.402487E-02,0.000000E+00
22:30:00,5.592359E+02,0.000000E+00,3.601975E-02,0.000000E+00,1.127454E+02,0.000000E+00,7.263750E-03,0.000000E+00,3.729958E+02,0.000000E+00,2.402568E-02,0.000000E+00
23:00:00,5.592533E+02,0.000000E+00,3.602087E-02,0.000000E+00,1.127492E+02,0.000000E+00,7.263991E-03,0.000000E+00,3.730082E+02,0.000000E+00,2.402648E-02,0.000000E+00
23:30:00,5.592704E+02,0.000000E+00,3.602197E-02,0.000000E+00,1.127528E+02,0.000000E+00,7.264227E-03,0.000000E+00,3.730204E+02,0.000000E+00,2.402727E-02,0.000000E+00
24:00:00,5.592871E+02,0.000000E+00,3.602304E-02,0.000000E+00,1.127564E+02,0.000000E+00,7.264459E-03,0.000000E+00,3.730323E+02,0.000000E+00,2.402804E-02,0.000000E+00
Peak,5.592871E+02,7.265189E+01,3.602304E-02,5.483899E-03,1.127564E+02,0.000000E+00,7.264459E-03,0.000000E+00,3.730323E+02,0.000000E+00,2.402804E-02,0.000000E+00

Peak Vol Flow (m3/s),,,3.143140E-02,4.784899E-03,,,6.338501E-03,0.000000E+00,,,2.096532E-02,0.000000E+00
