Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN GINEVRARESIDENCE (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s]
00:30:00,5.840244E+02,0.000000E+00,3.761718E-02,0.000000E+00,1.228661E+02,0.000000E+00,7.915957E-03,0.000000E+00,3.965460E+02,0.000000E+00,2.554312E-02,0.000000E+00
01:00:00,5.835416E+02,0.000000E+00,3.758606E-02,0.000000E+00,1.227660E+02,0.000000E+00,7.909503E-03,0.000000E+00,3.962083E+02,0.000000E+00,2.552136E-02,0.000000E+00
01:30:00,5.835748E+02,0.000000E+00,3.758820E-02,0.000000E+00,1.227729E+02,0.000000E+00,7.909948E-03,0.000000E+00,3.962316E+02,0.000000E+00,2.552285E-02,0.000000E+00
02:00:00,5.836072E+02,0.000000E+00,3.759029E-02,0.000000E+00,1.227796E+02,0.000000E+00,7.910383E-03,0.000000E+00,3.962543E+02,0.000000E+00,2.552432E-02,0.000000E+00
02:30:00,5.836390E+02,0.000000E+00,3.759234E-02,0.000000E+00,1.227862E+02,0.000000E+00,7.910808E-03,0.000000E+00,3.962766E+02,0.000000E+00,2.552576E-02,0.000000E+00
03:00:00,5.836701E+02,0.000000E+00,3.759434E-02,0.000000E+00,1.227927E+02,0.000000E+00,7.911225E-03,0.000000E+00,3.962984E+02,0.000000E+00,2.552716E-02,0.000000E+00
03:30:00,5.837005E+02,0.000000E+00,3.759630E-02,0.000000E+00,1.227990E+02,0.000000E+00,7.911632E-03,0.000000E+00,3.963197E+02,0.000000E+00,2.552853E-02,0.000000E+00
04:00:00,5.837303E+02,0.000000E+00,3.759822E-02,0.000000E+00,1.228052E+02,0.000000E+00,7.912031E-03,0.000000E+00,3.963405E+02,0.000000E+00,2.552988E-02,0.000000E+00
04:30:00,5.837594E+02,0.000000E+00,3.760010E-02,0.000000E+00,1.228113E+02,0.000000E+00,7.912421E-03,0.000000E+00,3.963609E+02,0.000000E+00,2.553119E-02,0.000000E+00
05:00:00,5.837879E+02,0.000000E+00,3.760193E-02,0.000000E+00,1.228172E+02,0.000000E+00,7.912803E-03,0.000000E+00,3.963809E+02,0.000000E+00,2.553248E-02,0.000000E+00
