Date_Time,t_in,t_out,delta_t,power_heating,power_cooling,power_electricity,total_power
2017/01/01  01:00:00,19.85,4.83,15.023237732007738,0.62,0.0,0.0,0.62
2017/01/01  02:00:00,19.85,6.13,13.718786049239169,0.57,0.0,0.0,0.57
2017/01/01  03:00:00,19.85,6.37,13.480099502944293,0.56,0.0,0.0,0.56
2017/01/01  04:00:00,19.84,6.12,13.72190285536086,0.57,0.0,0.0,0.57
2017/01/01  05:00:00,19.84,6.08,13.760602801217939,0.58,0.0,0.0,0.58
2017/01/01  06:00:00,19.84,6.03,13.810612678541457,0.58,0.0,0.0,0.58
2017/01/01  07:00:00,19.84,5.97,13.864789290968764,0.58,0.0,0.0,0.58
2017/01/01  08:00:00,19.84,5.91,13.927274709937329,0.58,0.0,0.0,0.58
2017/01/01  09:00:00,19.84,5.83,14.014379352198212,0.58,0.0,0.0,0.58
2017/01/01  10:00:00,19.85,5.65,14.197367363126833,0.84,0.0,0.25,1.0899999999999999
2017/01/01  11:00:00,19.86,5.63,14.22329417763812,0.83,0.0,0.25,1.08
2017/01/01  12:00:00,19.86,5.79,14.062452963773506,0.82,0.0,0.25,1.0699999999999998
2017/01/01  13:00:00,19.85,5.92,13.928383326338544,0.82,0.0,0.25,1.0699999999999998
2017/01/01  14:00:00,19.85,5.97,13.87972695332062,0.82,0.0,0.25,1.0699999999999998
2017/01/01  15:00:00,19.85,6.09,13.756607739367414,0.82,0.0,0.25,1.0699999999999998
2017/01/01  16:00:00,19.85,6.15,13.695512871175588,0.82,0.0,0.25,1.0699999999999998
2017/01/01  17:00:00,19.84,6.06,13.783493081082472,0.82,0.0,0.25,1.0699999999999998
2017/01/01  18:00:00,19.84,5.91,13.935735183421077,0.83,0.0,0.25,1.08
2017/01/01  19:00:00,19.85,5.7,14.151056935412294,0.79,0.0,0.35,1.1400000000000001
2017/01/01  20:00:00,19.85,5.48,14.374657316508198,0.8,0.0,0.35,1.15
2017/01/01  21:00:00,19.85,5.25,14.598598487785928,0.81,0.0,0.35,1.1600000000000001
2017/01/01  22:00:00,19.86,5.03,14.823197458635153,0.59,0.0,0.35,0.94
2017/01/01  23:00:00,19.86,4.5,15.354944223278693,0.58,0.0,0.1,0.6799999999999999
2017/01/01  23:59:59,19.85,3.96,15.893713636551604,0.65,0.0,0.0,0.65
2017/01/02  01:00:00,19.85,3.99,15.858468768718947,0.65,0.0,0.0,0.65
2017/01/02  02:00:00,19.84,2.9,16.94062290482879,0.69,0.0,0.0,0.69
2017/01/02  03:00:00,19.84,1.3,18.53562794217682,0.76,0.0,0.0,0.76
2017/01/02  04:00:00,19.84,0.39,19.44256992403796,0.79,0.0,0.0,0.79
2017/01/02  05:00:00,19.83,0.39,19.441143001493657,0.79,0.0,0.0,0.79
2017/01/02  06:00:00,19.83,0.38,19.456127535988912,0.8,0.0,0.0,0.8
2017/01/02  07:00:00,19.83,0.45,19.380906606238455,0.8,0.0,0.0,0.8
2017/01/02  08:00:00,19.83,0.29,19.541041261928275,0.92,0.0,0.0,0.92
2017/01/02  09:00:00,19.83,1.21,18.62179868014261,0.99,0.0,0.0,0.99
2017/01/02  10:00:00,19.83,2.99,16.84262194895979,0.84,0.0,0.25,1.0899999999999999
2017/01/02  11:00:00,19.84,3.94,15.902116138117552,0.68,0.0,0.25,0.93
2017/01/02  12:00:00,19.85,4.58,15.273235191512843,0.65,0.0,0.25,0.9
2017/01/02  13:00:00,19.86,4.78,15.077672583536259,0.64,0.0,0.25,0.89
2017/01/02  14:00:00,19.86,4.91,14.948836436550199,0.63,0.0,0.25,0.88
2017/01/02  15:00:00,19.86,5.2,14.660915817185279,0.62,0.0,0.25,0.87
2017/01/02  16:00:00,19.86,5.1,14.76321477913071,0.62,0.0,0.25,0.87
2017/01/02  17:00:00,19.85,4.43,15.422993825346936,0.66,0.0,0.25,0.91
2017/01/02  18:00:00,19.85,3.64,16.20376487229289,0.75,0.0,0.25,1.0
2017/01/02  19:00:00,19.85,3.38,16.4703210706785,0.78,0.0,0.35,1.13
2017/01/02  20:00:00,19.85,3.11,16.745723741615596,0.84,0.0,0.35,1.19
2017/01/02  21:00:00,19.85,2.88,16.976634920277938,0.91,0.0,0.35,1.26
2017/01/02  22:00:00,19.86,2.77,17.08243736518809,0.91,0.0,0.35,1.26
2017/01/02  23:00:00,19.86,2.45,17.409639355087823,0.83,0.0,0.1,0.9299999999999999
2017/01/02  23:59:59,19.85,1.94,17.91293573980927,0.78,0.0,0.0,0.78
2017/01/03  01:00:00,19.85,2.24,17.603186360538444,0.72,0.0,0.0,0.72
2017/01/03  02:00:00,19.84,2.27,17.567423105213297,0.72,0.0,0.0,0.72
2017/01/03  03:00:00,19.84,2.03,17.8040842596095,0.73,0.0,0.0,0.73
2017/01/03  04:00:00,19.84,1.78,18.052672430063474,0.74,0.0,0.0,0.74
2017/01/03  05:00:00,19.83,1.46,18.37205374571515,0.76,0.0,0.0,0.76
2017/01/03  06:00:00,19.83,1.25,18.58170240102181,0.77,0.0,0.0,0.77
2017/01/03  07:00:00,19.83,1.24,18.59368932258656,0.77,0.0,0.0,0.77
2017/01/03  08:00:00,19.83,1.24,18.586174322364005,0.88,0.0,0.0,0.88
2017/01/03  09:00:00,19.83,1.14,18.684366850703963,1.0,0.0,0.0,1.0
2017/01/03  10:00:00,19.83,1.49,18.34299959572266,0.91,0.0,0.25,1.1600000000000001
2017/01/03  11:00:00,19.83,2.09,17.74005973578853,0.77,0.0,0.25,1.02
2017/01/03  12:00:00,19.83,2.62,17.213076486037593,0.75,0.0,0.25,1.0
2017/01/03  13:00:00,19.83,3.04,16.786892459967618,0.73,0.0,0.25,0.98
2017/01/03  14:00:00,19.83,3.37,16.45713787057896,0.72,0.0,0.25,0.97
2017/01/03  15:00:00,19.83,3.49,16.33914848980933,0.71,0.0,0.25,0.96
2017/01/03  16:00:00,19.83,3.37,16.460720571171404,0.72,0.0,0.25,0.97
2017/01/03  17:00:00,19.82,2.98,16.845705591499414,0.74,0.0,0.25,0.99
